ID,Chironomid1,Chironomid2,Chironomid3,Chironomid4,Chironomid5,Chironomid6,Chironomid7,Chironomid8,Chironomid9,Chironomid10,Chironomid11,Chironomid12,Chironomid13,Chironomid14,Chironomid15,Chironomid16,Chironomid17,Chironomid18,Chironomid19,Chironomid20,Chironomid21,Chironomid22,Chironomid23,Chironomid24,Chironomid25,Chironomid26,Chironomid27,Chironomid28,Chironomid29,Chironomid30,Chironomid31,Chironomid32,Chironomid33,Chironomid34,Chironomid35,Chironomid36,Chironomid37,Chironomid38,Chironomid39,Chironomid40,Chironomid41,Chironomid42,Chironomid43,Chironomid44,Chironomid45,Chironomid46,Chironomid47,Chironomid48,Chironomid49,Chironomid50,Chironomid51,Chironomid52,Chironomid53,Chironomid54,Chironomid55,Chironomid56,Chironomid57,Chironomid58,Chironomid59,Chironomid60,Chironomid61,Chironomid62,Chironomid63,Midge1,Midge2,Midge3,Midge4,ratio
J1 0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,0.9019607843137255
J1 3-4,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,3,0,0,0,5,0,3,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,15,0,0,4,0.28846153846153844
J1 10-11,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,7,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,1,6,0,0,1,1,1,0,0,11,1,1,2,0.21568627450980393
J2 0.25,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,44,0,0,0,0.8301886792452831
J2 3-4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34,0,0,0,0.6296296296296297
J2 10-11,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.7692307692307693
J3 0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.8490566037735849
J3 3-4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0.5
J3 10-11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,6,0,0,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,23,0,0,1,0.4423076923076923
J4 0.25,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41,0,0,0,0.7735849056603774
J4 3-4,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,1,0,0,4,0,3,4,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0.4444444444444444
J4 10-11,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,33,0,1,0,0.6226415094339622
J5 0.25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,34,0,0,0,0.68
J5 3-4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,35,0,0,0,0.6140350877192983
J5 10-11,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,1,4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,18,0,1,0,0.35294117647058826
